gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSG00000235169.11,105,104,168,120,91,159
ENSG00000130764.10,4914,4288,6074,4889,5303,5664
ENSG00000266075.2,1,1,5,5,5,4
ENSG00000272153.1,18,21,26,23,28,24
ENSG00000116198.14,2770,2534,3364,3001,3041,2719
ENSG00000169598.17,886,834,1070,999,1048,976
ENSG00000198912.12,1626,1322,2040,1717,1941,1846
ENSG00000236423.8,27,19,19,40,43,33
ENSG00000196581.11,42,32,40,26,43,44
ENSG00000131697.18,835,633,920,717,809,778
ENSG00000069424.16,256,259,362,177,210,305
ENSG00000116254.18,14,13,14,12,13,10
ENSG00000116251.11,17200,15829,21588,20625,18164,17329
ENSG00000226944.1,21,20,26,13,20,38
ENSG00000158286.13,272,182,301,271,346,221
ENSG00000116237.16,14025,12406,16502,15473,14838,14516
ENSG00000225077.3,38,41,52,24,32,39
ENSG00000158292.7,788,633,961,633,659,968
ENSG00000097021.21,6611,6024,8531,6859,6483,9527
ENSG00000069812.11,445,353,512,550,626,515
ENSG00000187017.18,796,679,916,1139,1044,1000
ENSG00000215788.11,235,160,268,216,268,217
ENSG00000171680.23,1751,1585,2156,1697,1809,1919
ENSG00000162408.11,1954,1662,2026,1670,1899,1515
ENSG00000173662.21,2,1,6,2,2,2
ENSG00000204859.13,795,684,1052,776,756,926
ENSG00000162413.17,3118,2816,3810,3165,3067,3743
ENSG00000116273.6,3248,2740,3903,3086,3288,3494
ENSG00000041988.16,905,805,1246,1002,1178,1151
ENSG00000007923.17,4757,4216,5964,5025,4951,4752
ENSG00000237436.1,8,18,17,7,11,11
ENSG00000171735.21,3460,2884,4284,3827,3902,3923
ENSG00000270171.1,4,6,6,2,2,1
ENSG00000270035.1,9,5,5,7,6,4
ENSG00000269978.1,7,10,9,11,9,8
ENSG00000049245.13,10385,9521,12869,12421,11135,11045
ENSG00000269925.1,26,22,37,32,36,27
ENSG00000049246.15,215,163,258,149,190,164
ENSG00000049249.10,2675,2245,3000,3055,2732,2274
ENSG00000116288.13,15811,14268,19670,16934,17006,18374
ENSG00000200344.1,4,1,3,7,3,2
ENSG00000284747.1,16,7,19,12,22,11
ENSG00000116285.13,12761,9986,14361,17203,17506,11779
ENSG00000162426.16,80,67,93,40,48,95
ENSG00000142599.20,7748,6612,9533,7538,7598,8026
ENSG00000074800.16,183187,172263,235261,180244,176889,229020
ENSG00000230679.1,5,3,3,3,3,7
ENSG00000238249.2,3,4,5,5,5,13
ENSG00000197241.4,5,3,3,3,6,5
ENSG00000142583.18,18,11,15,7,13,11
ENSG00000180758.12,463,403,503,487,445,418
ENSG00000228526.8,235,146,260,325,356,233
ENSG00000234546.5,118,99,113,186,146,161
ENSG00000049239.13,5713,4692,6682,6158,6435,5297
ENSG00000171621.14,1026,822,1033,912,954,1029
ENSG00000284652.1,4,1,7,3,4,5
ENSG00000284693.2,8,13,29,11,11,19
ENSG00000171612.7,2312,1991,2885,2601,2521,2459
ENSG00000231181.1,32,18,21,34,45,28
ENSG00000188807.13,2139,2005,2720,2120,1950,2904
ENSG00000171608.18,1196,1028,1407,1111,1068,1330
ENSG00000231789.4,139,133,183,101,79,181
ENSG00000171603.18,18636,16671,22996,20562,20432,20924
ENSG00000178585.15,8808,8178,11202,13801,13117,11499
ENSG00000162441.12,5334,4596,6290,6811,6186,5225
ENSG00000228150.1,23,6,22,12,23,24
ENSG00000173614.14,1303,1164,1608,1501,1493,1348
ENSG00000202415.1,2,2,2,2,1,2
ENSG00000162444.12,37,30,44,27,37,32
ENSG00000130939.20,10711,9261,12429,11240,11057,9818
ENSG00000054523.20,12346,10394,14304,12391,12090,10178
ENSG00000284735.1,24,19,24,18,12,23
ENSG00000284642.1,32,23,46,21,36,29
ENSG00000142657.21,32912,29442,40807,33151,30846,36785
ENSG00000251503.8,11,22,28,22,22,22
ENSG00000175279.22,144,144,184,206,115,146
ENSG00000241563.4,3,3,8,3,8,11
ENSG00000160049.12,9173,7665,10689,8747,9115,8220
ENSG00000142655.13,1975,1667,2357,1988,2013,2389
ENSG00000287727.1,9,4,2,4,4,3
ENSG00000130940.15,1538,1335,1834,1614,1597,1332
ENSG00000272078.1,26,33,55,48,26,45
ENSG00000175262.15,91,82,136,42,42,72
