gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSG00000185078.3,7,1,7,6,6,6
ENSG00000224839.1,3,6,5,3,5,6
ENSG00000118231.5,9,5,14,8,6,8
ENSG00000138413.14,45570,40196,54241,51992,49441,44966
ENSG00000231908.2,46,35,81,52,58,59
ENSG00000115020.17,5080,4151,5795,5421,5728,3695
ENSG00000144407.10,25,13,25,11,5,14
ENSG00000229670.2,1,1,2,1,2,1
ENSG00000078018.22,2728,2380,3308,2555,2157,2162
ENSG00000144406.19,110,98,119,40,44,75
ENSG00000197713.15,4356,3682,5126,4678,4413,3879
ENSG00000144445.17,776,693,853,833,828,651
ENSG00000272807.1,14,5,11,10,10,11
ENSG00000229127.2,1,5,7,10,3,10
ENSG00000115361.8,15,7,16,12,5,13
ENSG00000234281.5,4,1,1,2,1,1
ENSG00000115365.13,5042,4409,5937,4875,4458,4290
ENSG00000021826.18,293,242,374,251,274,226
ENSG00000178568.16,247,226,290,118,128,213
ENSG00000030419.17,820,699,957,1037,902,708
ENSG00000270659.2,61,42,45,65,52,40
ENSG00000196096.3,5,4,2,5,1,3
ENSG00000144451.20,2029,1544,2172,1819,1708,1509
ENSG00000197585.10,7,9,10,11,7,10
ENSG00000138376.11,1917,1570,2162,2115,2011,1762
ENSG00000229267.3,77,71,68,77,59,47
ENSG00000230076.1,535,459,531,455,576,664
ENSG00000144452.15,1218,1044,1408,2413,2320,1688
ENSG00000138363.15,20929,17798,25656,21400,19555,22026
ENSG00000115414.21,1360401,1115349,1584449,1730192,1626545,1310109
ENSG00000230695.2,4,4,5,6,5,10
ENSG00000237525.7,10,11,9,13,12,6
ENSG00000235770.6,1712,1424,2082,1703,1617,1475
ENSG00000226276.1,8,3,8,3,3,6
ENSG00000118242.17,1935,1751,2273,2323,1842,2039
ENSG00000115425.14,1118,866,1251,1144,1282,1046
ENSG00000163449.11,610,566,679,343,351,455
ENSG00000079246.16,80881,75228,99203,87132,81909,84063
ENSG00000279348.1,752,661,863,905,769,595
ENSG00000260804.3,1202,1019,1446,1467,1359,1492
ENSG00000144583.5,200,177,241,89,111,132
ENSG00000138375.14,3200,2742,3699,3352,3415,3124
ENSG00000232485.4,24,16,32,29,23,25
ENSG00000197756.10,89917,77568,112046,92900,96316,118705
ENSG00000225794.3,4,3,3,1,2,3
ENSG00000115457.10,43738,42313,57332,49448,49983,64498
ENSG00000115461.5,20192,16750,24001,20648,23080,23855
ENSG00000233143.4,40,42,66,37,33,39
ENSG00000118245.2,5,7,21,1,1,10
ENSG00000231672.8,15,16,16,17,13,16
ENSG00000079308.21,701,516,812,705,863,650
ENSG00000223923.2,13,10,21,5,7,12
ENSG00000180871.8,20,10,20,21,24,17
ENSG00000224159.1,9,1,8,3,7,8
ENSG00000163466.16,24124,22008,30106,28755,27278,28072
ENSG00000261338.2,141,84,149,115,126,128
ENSG00000179921.15,192,210,255,92,98,202
ENSG00000127837.10,9207,8239,11801,9448,9378,10801
ENSG00000127838.15,2997,2685,3877,3285,3585,3709
ENSG00000135926.15,8921,7054,10394,9934,10612,9021
ENSG00000158428.4,31,28,38,25,49,38
ENSG00000018280.17,22,8,19,13,11,19
ENSG00000144579.9,4509,4154,5622,4666,4552,5435
ENSG00000127831.11,13173,11379,16529,14297,14375,11896
ENSG00000135913.11,1610,1528,1990,1852,1813,1372
ENSG00000144580.15,8948,8536,11141,9756,9751,9941
ENSG00000115556.14,2,1,1,2,4,3
ENSG00000115568.16,2570,2301,3276,2476,2540,2656
ENSG00000074582.15,1584,1467,2010,1595,1448,1727
ENSG00000163481.8,1622,1507,1911,1594,1722,2063
ENSG00000163482.12,1851,1707,2283,1922,2014,1791
ENSG00000135912.11,5544,4794,6850,5528,5601,5373
ENSG00000135929.9,665,546,740,524,576,626
ENSG00000272555.1,2,1,2,3,1,1
ENSG00000115596.4,186,198,234,172,194,329
ENSG00000135925.9,471,441,649,401,417,647
ENSG00000288898.1,6,6,5,8,7,9
ENSG00000224928.2,9,4,9,7,13,11
ENSG00000171450.6,583,502,675,290,289,557
ENSG00000163497.3,1228,993,1391,540,533,1074
ENSG00000163499.12,3629,3708,4878,1321,1279,3683
ENSG00000224090.1,9,4,12,2,11,10
ENSG00000181378.14,51,44,71,39,28,48
ENSG00000163501.7,3363,3108,4035,5391,5476,4173
ENSG00000264755.1,55,61,56,77,67,53
ENSG00000286606.1,27,13,19,29,28,23
ENSG00000187736.14,949,754,1005,934,1000,844
ENSG00000280537.2,2,3,2,2,3,4
ENSG00000213901.11,3,1,4,3,4,5
ENSG00000115649.16,2361,1933,2821,2415,2676,2581
ENSG00000144567.11,4594,4201,5745,5106,5105,5494
ENSG00000158552.13,677,707,879,754,740,840
ENSG00000115657.14,211,158,227,211,174,183
ENSG00000198925.12,2836,2532,3453,2910,3109,3136
ENSG00000163516.14,2168,1867,2616,2173,2261,2286
ENSG00000163521.16,622,511,749,605,580,521
ENSG00000115661.14,2111,1809,2566,2336,2540,2313
ENSG00000127824.15,639,590,827,325,360,652
ENSG00000243910.9,10,13,5,7,6,11
ENSG00000135924.17,2987,2559,3653,3089,3099,3396
ENSG00000054356.14,1539,1506,2007,612,618,1572
ENSG00000123992.20,2913,2559,3626,3394,3453,3458
ENSG00000229525.1,19,17,24,34,34,28
ENSG00000175084.13,21,15,30,33,47,39
ENSG00000072195.15,479,358,595,392,466,519
ENSG00000144591.20,2281,2143,3037,2309,2419,2691
ENSG00000072182.14,54,46,49,20,23,48
ENSG00000123989.15,5401,5166,6976,6559,6860,7078
ENSG00000188760.11,299,303,379,292,258,374
ENSG00000124006.15,5237,4711,6578,5399,5666,6375
ENSG00000269068.1,1,3,3,2,4,1
ENSG00000123999.5,28,33,36,23,27,42
ENSG00000144589.22,1234,1184,1576,1246,1349,1378
ENSG00000228973.1,3,4,5,8,3,5
ENSG00000114923.17,562,499,715,503,583,609
ENSG00000116106.12,2277,1968,2814,2004,2087,2168
ENSG00000272944.1,45,32,46,33,22,39
ENSG00000233868.1,4,5,6,10,5,10
ENSG00000226666.1,11,16,27,15,27,18
ENSG00000135903.20,9,2,6,6,3,2
ENSG00000288658.2,16,16,17,10,10,12
ENSG00000163082.10,1960,1776,2245,1200,1107,1887
ENSG00000116120.11,6974,6449,8558,7140,7101,6846
ENSG00000235225.1,1,8,2,3,3,2
ENSG00000123983.15,15956,13450,18471,16410,16518,14044
ENSG00000152049.7,18,9,29,44,40,36
ENSG00000171951.5,6794,6459,8637,3279,2846,6660
ENSG00000152056.18,1244,951,1354,1389,1367,1280
ENSG00000085449.15,4727,3923,5095,4859,4345,4004
ENSG00000135900.4,3468,3013,4184,3934,3896,3698
ENSG00000135919.14,4226,3268,4629,3401,3540,3710
ENSG00000036257.14,10866,9502,13267,10888,10592,10428
ENSG00000228446.2,4,1,8,4,10,4
ENSG00000135905.21,337,297,305,93,101,213
ENSG00000144460.13,127,99,162,99,100,80
ENSG00000169047.6,9895,7927,11486,11789,11965,10278
ENSG00000272622.2,104,88,111,142,130,74
ENSG00000261379.1,7,3,8,9,10,7
ENSG00000290086.1,4,5,5,6,11,2
ENSG00000144468.17,2536,2158,2998,2704,2650,2359
ENSG00000081052.14,21,14,28,24,14,11
ENSG00000169031.21,2,8,11,10,5,6
ENSG00000236432.8,158,134,189,173,127,133
ENSG00000168958.21,6235,5616,7751,6925,6420,6602
ENSG00000173744.18,11715,9819,13574,12884,12145,10985
ENSG00000042304.14,3,5,3,1,2,3
ENSG00000135917.16,16271,13966,19514,32207,29063,19525
ENSG00000115009.13,17,15,18,42,41,27
ENSG00000123977.10,129,90,142,78,84,105
ENSG00000153820.13,1022,902,1091,487,605,754
ENSG00000232023.3,2,1,4,3,1,1
ENSG00000153823.19,197,146,193,181,201,202
ENSG00000187957.8,721,685,834,707,500,812
ENSG00000153827.15,22415,19588,26188,24515,22824,19436
ENSG00000153832.12,488,377,585,490,482,452
ENSG00000163053.11,1433,1181,1626,1126,1166,1244
ENSG00000199400.1,9,3,1,3,1,6
ENSG00000225963.8,3,1,5,3,3,1
ENSG00000135899.20,180,193,253,214,208,164
ENSG00000079263.19,2,1,7,5,6,3
ENSG00000185404.17,121,84,126,148,146,98
ENSG00000067066.17,387,260,392,389,433,284
ENSG00000183022.5,10,11,17,10,19,22
ENSG00000226125.2,7,1,2,4,3,1
ENSG00000135932.12,11024,9201,12623,13093,11530,10293
ENSG00000237758.1,16,19,25,14,17,37
ENSG00000135916.16,21549,18838,26398,25011,26728,26960
ENSG00000238062.6,17,22,21,23,28,22
ENSG00000204128.6,2891,2283,3273,3411,4020,2674
ENSG00000261829.1,36,24,34,15,33,19
ENSG00000173692.14,20317,18842,25609,22640,21277,21147
ENSG00000135914.6,10,3,11,13,25,6
ENSG00000135931.19,2854,2497,3492,3097,3004,3015
ENSG00000237039.1,17,13,26,26,41,33
ENSG00000224376.3,7,14,10,11,3,7
ENSG00000156966.7,1772,1688,2400,2130,1819,1954
ENSG00000172799.5,13,9,11,13,9,7
ENSG00000115053.17,113237,96540,138349,108560,108412,109651
ENSG00000283312.1,11,1,8,1,7,6
ENSG00000283491.1,15,13,7,7,12,5
ENSG00000181798.4,26,20,24,28,16,17
ENSG00000289018.2,17,18,32,32,21,19
ENSG00000187514.17,144928,125395,178433,146761,140466,165859
ENSG00000156973.14,1275,1238,1676,1423,1362,1389
ENSG00000144524.18,3918,3534,4708,3763,4135,4276
ENSG00000261096.1,9,15,18,10,16,14
ENSG00000163273.4,15,18,13,11,6,13
ENSG00000144535.20,2306,2063,2980,2463,2324,2443
ENSG00000251485.1,27,20,21,38,31,30
ENSG00000163283.7,29,31,33,63,35,51
ENSG00000290681.1,7,2,3,5,5,8
ENSG00000163286.9,134,117,132,167,178,155
ENSG00000204121.2,1,1,2,2,4,4
ENSG00000163295.5,58,33,58,59,52,27
ENSG00000171551.12,234,179,274,180,200,331
ENSG00000221944.9,301,300,362,355,362,336
ENSG00000135930.15,8467,7089,10162,8988,8925,9352
ENSG00000237126.8,126,103,148,103,157,100
ENSG00000115468.13,1236,942,1383,1080,1132,1285
ENSG00000204120.16,8528,7038,10283,8947,9404,7966
ENSG00000115474.7,279,242,311,1085,905,346
ENSG00000182600.10,58,50,73,59,70,63
ENSG00000066248.15,58,44,71,48,54,77
ENSG00000168918.14,5016,4199,6021,6623,7043,6409
ENSG00000085978.22,2354,1967,2755,2310,2692,2242
ENSG00000077044.11,5398,4853,6768,4582,4917,4799
ENSG00000085982.16,3547,3233,4312,3920,3891,3310
ENSG00000167165.19,6,4,6,3,6,6
ENSG00000244474.6,5,3,1,2,3,3
ENSG00000241635.8,7,5,7,11,8,1
ENSG00000123485.12,2427,2146,2899,2161,2373,2420
ENSG00000293137.1,210,156,211,180,169,151
ENSG00000224287.3,4,4,3,9,6,6
ENSG00000188042.8,11600,9739,13768,12379,11654,12717
ENSG00000235726.7,18,13,25,20,15,15
ENSG00000130147.16,10931,9274,12988,11652,11721,10833
ENSG00000157985.20,5999,4991,7235,5949,6266,5671
ENSG00000235529.2,16,17,26,26,20,24
ENSG00000168505.7,26,28,30,27,35,31
ENSG00000233611.4,18,12,23,28,27,30
ENSG00000132321.17,385,269,429,414,444,414
ENSG00000144476.6,220,197,267,202,323,285
ENSG00000227252.2,177,153,217,185,160,172
ENSG00000198612.11,5776,5306,6886,6074,5837,6119
ENSG00000163359.17,845,113,594,802,1404,556
ENSG00000115648.14,54,32,61,47,43,22
ENSG00000124839.13,898,782,1145,1062,1122,959
ENSG00000234949.2,17,5,11,24,32,21
ENSG00000227107.1,14,9,19,5,14,12
ENSG00000124831.20,7277,6160,8657,7153,7795,6323
ENSG00000177483.12,23,11,22,24,26,11
ENSG00000132329.11,3654,3296,4819,5210,5667,5835
ENSG00000184182.19,1576,1457,2054,1923,1911,1840
ENSG00000258984.5,4,11,9,7,10,8
ENSG00000132330.18,368,297,464,405,400,425
ENSG00000144488.15,12,7,24,8,4,11
ENSG00000168427.9,125,102,172,96,141,138
ENSG00000178752.16,203,157,216,341,346,411
ENSG00000132323.9,1544,1412,2018,1740,1789,1822
ENSG00000186235.12,18,24,21,19,14,21
ENSG00000225057.2,4,5,2,8,7,8
ENSG00000144485.11,1735,1672,2214,1850,1892,2617
ENSG00000132326.13,2409,1910,2868,3292,3247,2322
ENSG00000283635.1,3,5,4,7,6,4
ENSG00000204104.12,2968,2283,3504,3291,3280,2920
ENSG00000065802.12,4913,4176,5662,5164,5349,4865
ENSG00000229915.1,3,2,4,1,2,3
ENSG00000233608.5,18,10,14,6,14,12
ENSG00000068024.18,1613,1341,1847,1714,1807,1560
ENSG00000287405.1,1,2,3,3,7,2
ENSG00000222020.5,4,6,3,6,2,5
ENSG00000286188.1,5,4,7,1,4,1
ENSG00000130414.13,6690,5941,8449,7223,6889,6789
ENSG00000264279.1,5,3,3,1,5,3
ENSG00000172428.11,2064,1837,2579,2054,2203,2674
ENSG00000227479.1,2,5,1,3,7,8
ENSG00000063660.9,11582,11392,15342,13112,12121,16881
ENSG00000218416.4,28,22,32,34,39,17
ENSG00000144504.16,474,417,581,425,483,476
ENSG00000188542.10,167,163,224,173,194,187
ENSG00000142327.13,5115,4661,6507,5188,4677,6461
ENSG00000260942.1,139,156,231,176,180,190
ENSG00000142330.20,1251,1233,1568,1218,1462,1577
ENSG00000178623.13,31,30,46,38,47,30
ENSG00000219159.4,2,6,6,7,6,2
ENSG00000130294.18,18427,16189,23225,17317,17745,18408
ENSG00000172482.5,21,19,24,12,17,14
ENSG00000172478.18,630,566,774,758,743,745
ENSG00000162804.15,71,74,108,48,58,74
ENSG00000122085.17,1830,1559,2196,1815,1797,1807
ENSG00000115687.14,1805,1584,2235,1585,1681,1689
ENSG00000115685.15,4108,3695,5286,4512,4173,4730
ENSG00000146205.15,191,176,217,172,179,218
ENSG00000115677.18,63012,55688,77401,65465,63583,63539
ENSG00000168385.18,44675,38925,53748,50810,49846,45970
ENSG00000286588.1,3,3,2,2,5,2
ENSG00000223374.1,4,1,3,4,2,6
ENSG00000006607.14,3781,3128,4357,4206,4659,3357
ENSG00000115694.15,8422,8176,11057,8788,8476,10491
ENSG00000176720.6,1884,1864,2472,1964,1867,2349
ENSG00000273113.1,20,9,15,12,14,9
ENSG00000176946.13,5061,4558,6421,4927,4798,6135
ENSG00000168397.17,3894,3450,4908,4105,4529,4645
ENSG00000168393.13,2965,2920,3779,3254,3177,4243
ENSG00000168395.16,2087,1913,2687,2173,2406,2120
ENSG00000235351.1,1,2,2,2,1,2
ENSG00000180902.18,674,596,850,692,712,835
ENSG00000154252.12,15,18,17,21,22,16
ENSG00000215023.2,6,2,4,2,7,4
ENSG00000224272.2,34,32,42,28,36,40
ENSG00000204099.12,26,27,18,28,29,20
ENSG00000188389.11,1,4,4,3,3,4
ENSG00000233806.9,22,15,22,22,19,13
ENSG00000216921.9,10,1,9,7,6,10
ENSG00000237940.3,17,10,16,6,21,7
ENSG00000261186.2,6,8,8,15,16,13
ENSG00000291147.1,91,73,115,115,119,72
ENSG00000134121.10,256,187,255,40,30,153
ENSG00000224957.7,18,11,16,28,39,27
ENSG00000224239.1,8,1,3,5,8,1
ENSG00000134115.13,52,25,37,26,28,20
ENSG00000288831.2,20,12,18,12,26,26
ENSG00000144619.15,2693,2362,3255,3757,3658,2589
ENSG00000286363.1,8,6,14,7,15,10
ENSG00000091181.20,29,17,29,11,10,18
ENSG00000072756.18,3434,3004,4110,3679,3469,3285
ENSG00000113851.16,1623,1486,1829,1862,1726,1758
ENSG00000144455.14,1955,1693,2316,2390,2348,2137
ENSG00000175928.6,12038,10360,14190,13424,13442,11498
ENSG00000287720.1,10,8,12,9,8,8
ENSG00000229241.1,2,1,8,3,5,2
ENSG00000286579.1,7,6,10,7,3,1
ENSG00000170364.13,2059,1967,2436,2206,2195,2052
ENSG00000231249.3,13,18,18,17,6,17
ENSG00000150995.21,258,164,329,225,283,208
ENSG00000235831.8,14,15,16,22,22,15
ENSG00000134107.5,561,391,639,538,650,551
ENSG00000134108.14,5727,4942,6717,6755,6237,5555
ENSG00000233912.1,13,1,14,5,1,4
ENSG00000134109.11,2423,1772,2711,2602,3280,2048
ENSG00000189229.12,9,8,9,8,11,6
ENSG00000196277.17,1,2,1,2,4,1
ENSG00000236152.1,3,1,1,3,3,2
ENSG00000227110.7,22,16,33,15,9,11
ENSG00000071282.12,516,412,615,514,464,498
ENSG00000125046.16,22,20,31,16,7,21
ENSG00000180914.11,1076,917,1375,511,410,728
ENSG00000070950.10,2150,1784,2428,2124,1965,1942
ENSG00000196220.17,2231,1865,2606,2269,2496,2174
ENSG00000228723.6,33,36,39,57,54,39
ENSG00000235830.2,4,7,4,8,1,8
ENSG00000254485.5,8,11,11,15,7,9
ENSG00000206573.11,608,479,677,648,733,520
ENSG00000134077.16,4408,3975,5574,4840,4889,4155
ENSG00000168137.20,13236,10670,14941,13491,15027,10702
ENSG00000156959.9,131,94,147,31,40,86
ENSG00000163719.20,2632,2551,3381,2882,3015,3148
ENSG00000287878.1,11,3,11,15,14,10
ENSG00000144550.14,21,19,33,9,18,23
ENSG00000156983.17,2052,1902,2601,2005,2118,2099
ENSG00000114026.22,942,803,1119,842,916,1141
ENSG00000134072.11,233,207,282,247,217,315
ENSG00000171148.14,9846,9647,13225,10854,10029,12403
ENSG00000241553.13,5368,5143,7305,6017,5925,7305
ENSG00000250151.9,3,4,4,4,8,2
ENSG00000214021.18,177,121,212,169,251,141
ENSG00000156990.14,2611,2194,3269,2524,2369,2982
ENSG00000171135.15,3734,3352,4618,3953,4171,4675
ENSG00000163701.19,132,112,160,121,135,175
ENSG00000163702.21,99,105,111,85,88,119
ENSG00000163703.20,259,196,339,260,315,256
ENSG00000163704.13,554,562,701,472,462,647
ENSG00000230082.1,23,10,29,26,10,21
ENSG00000269982.1,82,66,97,83,112,99
ENSG00000125037.13,4137,3899,5120,4767,4477,4657
ENSG00000291224.1,103,92,102,100,98,100
ENSG00000180385.11,13,5,18,10,7,3
ENSG00000232901.1,16,8,5,5,10,5
ENSG00000206567.10,192,157,203,178,167,192
ENSG00000291078.1,139,123,178,99,183,160
ENSG00000144554.13,4928,4030,5753,4494,4445,4352
ENSG00000254999.4,12210,11107,15075,13123,12898,13935
ENSG00000134086.9,4254,3520,4790,4747,4246,4129
ENSG00000134070.5,205,159,288,292,295,196
ENSG00000157014.11,1615,1510,2111,1781,1763,1725
ENSG00000231177.4,25,16,15,22,25,19
ENSG00000157017.16,76,56,93,31,42,69
ENSG00000240288.8,24,9,17,23,22,9
ENSG00000157020.18,10934,9538,13618,11613,11605,12681
ENSG00000157087.20,65,34,57,18,26,41
ENSG00000132164.10,121,82,126,132,248,99
ENSG00000196639.7,14,4,12,47,36,14
ENSG00000197548.13,1881,1814,2382,2066,2082,2062
ENSG00000144560.16,4197,3629,4876,4631,4982,4158
ENSG00000144559.11,970,857,1166,990,1075,1002
ENSG00000157152.17,91,88,126,80,90,102
ENSG00000157150.5,10,19,29,13,34,20
ENSG00000132170.24,1254,1156,1505,1486,1414,1383
ENSG00000225026.1,1,1,1,3,3,2
ENSG00000154743.19,1623,1472,1998,1657,1712,1631
ENSG00000225526.6,40,38,53,49,46,34
ENSG00000075975.17,1079,1046,1381,1177,1239,1187
ENSG00000132155.14,5356,4866,6750,5618,5803,5555
ENSG00000290072.1,3,4,3,2,6,5
ENSG00000088726.16,8,11,6,20,14,8
ENSG00000213943.3,39,51,47,59,48,59
ENSG00000144712.13,777,713,990,475,550,816
ENSG00000272263.1,30,42,49,44,36,33
ENSG00000144713.13,78227,72296,99282,80886,85026,102913
ENSG00000144711.17,3441,2915,4054,3307,3475,3251
ENSG00000132182.13,14089,12552,17432,12802,13190,14631
ENSG00000163517.15,931,787,1204,881,930,1075
ENSG00000163520.14,421,308,450,254,435,467
ENSG00000154764.6,53,41,86,36,40,42
ENSG00000163528.13,1522,1362,1887,1656,1724,1689
ENSG00000170876.8,5998,5290,7298,7557,7720,6343
ENSG00000268279.4,10,2,9,8,7,8
ENSG00000228242.6,27,17,31,30,41,22
ENSG00000154767.15,4146,3397,5031,4692,5123,4425
ENSG00000170860.4,4544,4455,6025,5092,4965,5770
ENSG00000131389.18,5708,4244,6213,5586,6693,4732
ENSG00000144596.13,617,630,769,826,902,721
ENSG00000234123.1,6,4,5,6,5,7
ENSG00000154781.17,1755,1488,1969,1848,1964,1661
ENSG00000131379.10,23,18,22,25,19,12
ENSG00000154783.12,139,143,158,67,78,109
ENSG00000225733.8,12821,10424,14658,13033,13778,12119
ENSG00000177463.16,631,462,684,573,673,482
ENSG00000131368.9,1296,1064,1635,1431,1478,1319
ENSG00000131381.12,2374,1936,2626,2459,2398,2271
ENSG00000131375.10,4063,3440,4896,4964,4740,4115
ENSG00000224660.2,223,156,217,194,226,174
ENSG00000131370.16,753,611,904,580,718,732
ENSG00000206562.12,1507,1328,1887,1596,1519,1526
ENSG00000144597.14,6508,5691,8121,7434,7016,6348
ENSG00000249786.8,9,1,3,4,12,5
ENSG00000206561.14,97,52,87,83,77,65
ENSG00000131373.15,942,934,1215,1848,1918,1888
ENSG00000169814.17,2673,2225,3075,2964,3152,2621
ENSG00000206560.12,4320,3524,4927,4113,4071,3514
ENSG00000287042.3,18,11,18,17,11,6
ENSG00000224728.1,12,5,11,10,8,10
ENSG00000286689.1,21,9,13,21,16,14
ENSG00000131386.20,49,34,47,25,31,24
ENSG00000154813.10,5085,4736,6175,5794,5162,5232
ENSG00000154814.14,1154,1022,1386,1182,1295,1184
ENSG00000131378.14,544,340,611,902,839,674
ENSG00000271964.1,4,1,2,5,8,6
ENSG00000272498.1,17,13,34,30,23,15
ENSG00000272529.1,8,6,7,11,7,3
ENSG00000154822.18,1716,1557,2084,1969,2028,1865
ENSG00000131374.15,5466,4518,6332,5521,5428,4688
ENSG00000213383.2,2,5,2,5,5,10
ENSG00000274840.5,58,39,73,43,56,36
ENSG00000182568.18,3015,2265,3301,2724,2954,2539
ENSG00000228956.9,236,169,249,199,217,249
ENSG00000236570.1,11,11,9,13,19,15
ENSG00000183960.9,253,222,304,302,283,234
ENSG00000287069.1,229,192,219,218,222,193
ENSG00000163576.18,41,24,43,22,22,30
ENSG00000144566.11,5348,4479,6173,5981,5251,4850
ENSG00000289138.1,73,65,90,67,56,60
ENSG00000183977.14,31,27,32,18,24,20
ENSG00000114166.8,272,247,327,208,197,207
ENSG00000129810.15,1224,923,1406,1239,1193,1080
ENSG00000231304.2,15,12,7,8,13,4
ENSG00000151789.13,52,44,76,29,29,46
ENSG00000225542.2,15,7,8,4,2,5
ENSG00000293339.1,30,40,40,39,46,43
ENSG00000215016.2,3,3,1,3,5,5
ENSG00000182247.11,2858,2503,3262,3260,3017,3004
ENSG00000223791.1,18,15,9,23,20,24
ENSG00000170142.12,5190,4612,6523,5667,5378,5239
ENSG00000197885.11,1056,873,1238,1048,960,1037
ENSG00000174748.22,115370,104705,141501,134096,135067,153956
ENSG00000174738.13,2174,1875,2473,2133,1812,1770
ENSG00000151090.20,12505,10787,14753,13929,14084,11472
ENSG00000289130.2,2,2,6,8,6,2
ENSG00000228791.8,58,48,70,86,77,69
ENSG00000272554.3,4,3,11,6,11,8
ENSG00000077092.20,841,807,1041,667,737,779
ENSG00000077097.17,29184,24416,34765,29845,27671,25077
ENSG00000151092.18,2509,2297,3073,2489,2508,2614
ENSG00000213872.3,1,3,2,1,1,2
ENSG00000151093.8,721,603,832,723,779,685
ENSG00000179796.13,17,9,16,6,13,10
ENSG00000163491.18,44,33,53,56,62,26
ENSG00000224237.1,6,4,9,9,4,6
ENSG00000033867.18,13413,10697,14819,14474,14630,10146
ENSG00000230807.1,4,2,14,3,4,3
ENSG00000293322.1,164,113,203,111,145,128
ENSG00000272282.1,10,6,15,18,13,13
ENSG00000163508.13,10,20,18,19,13,22
ENSG00000225548.7,16,11,23,18,17,8
ENSG00000235493.2,7,3,8,9,11,6
ENSG00000187118.14,699,571,918,832,793,885
ENSG00000163512.14,1608,1461,2056,1895,1666,1606
ENSG00000206559.8,28,14,20,20,23,27
ENSG00000144642.22,434,318,541,334,440,463
ENSG00000235904.3,13,8,23,5,17,11
ENSG00000163513.19,4231,3581,4930,4415,4545,3936
ENSG00000261468.1,17,11,11,14,9,11
ENSG00000144644.15,3060,2558,3486,2195,2646,2599
ENSG00000227339.1,5,3,3,2,4,3
ENSG00000288926.2,52,49,66,38,42,45
ENSG00000163527.10,37719,32760,44665,37700,34230,34957
ENSG00000144645.16,1823,1486,2123,2042,2008,1654
ENSG00000197385.6,123,90,125,162,123,82
ENSG00000152642.11,1051,881,1169,944,879,892
ENSG00000237433.1,6,2,5,2,4,3
ENSG00000261572.2,120,97,165,98,106,117
ENSG00000170293.9,894,678,1066,841,912,875
ENSG00000234737.1,30,28,35,28,23,45
ENSG00000153551.14,2844,2634,3400,3215,3223,3434
ENSG00000091317.8,9488,7933,10964,11843,10501,8687
ENSG00000144635.9,5467,4806,6880,6014,5648,5671
ENSG00000237676.1,6,5,6,9,12,7
ENSG00000182973.20,3463,3138,4301,3598,3501,3665
ENSG00000227337.1,7,14,13,9,12,19
ENSG00000206557.6,22357,17920,25504,25397,23667,20704
ENSG00000170266.16,14634,12960,17818,17537,19209,16713
ENSG00000188167.9,173,148,176,206,168,140
ENSG00000170275.15,14308,12809,17148,17416,17509,15947
ENSG00000173705.9,245,226,274,264,251,268
ENSG00000153558.17,780,648,1015,784,846,745
ENSG00000153560.12,9936,8990,12029,10366,10236,9496
ENSG00000163539.19,6298,5315,7484,6545,6900,5605
ENSG00000271643.2,368,349,465,500,456,356
ENSG00000170248.15,14370,12189,16678,15314,14800,13219
ENSG00000226320.6,85,82,113,76,60,49
ENSG00000236452.1,25,18,26,24,10,20
ENSG00000228767.1,5,4,2,3,5,6
ENSG00000172995.17,58,51,58,17,12,41
ENSG00000144681.11,1174,1089,1483,1314,1285,1066
ENSG00000163673.8,4,16,22,6,7,21
ENSG00000230067.4,9,20,11,11,22,13
ENSG00000279727.1,6,9,12,8,6,4
ENSG00000281100.1,49,34,51,33,43,53
ENSG00000168016.15,4300,3247,4792,2518,3280,2869
ENSG00000178567.8,2617,2256,3079,3013,2781,2521
ENSG00000076242.17,5712,5116,6830,5963,6050,6035
ENSG00000224858.5,73,75,94,66,78,146
ENSG00000093167.18,3196,2779,3729,3334,3261,3089
ENSG00000225558.1,1,1,3,1,6,3
ENSG00000224080.1,24,34,38,51,41,17
ENSG00000271993.1,1,4,1,7,4,1
ENSG00000270194.2,73,56,109,134,118,79
ENSG00000144674.19,9258,7089,10645,10521,11086,7263
ENSG00000230409.3,146,148,210,223,210,141
ENSG00000198590.12,23,4,10,19,17,15
ENSG00000144668.12,1115,851,1222,1356,1335,867
ENSG00000235257.11,242,244,336,300,306,289
ENSG00000236411.1,8,9,8,10,3,11
ENSG00000288972.1,3,2,4,1,5,2
ENSG00000144677.15,7353,6714,8858,7823,7763,7348
ENSG00000136059.16,484,435,576,411,434,513
ENSG00000187091.14,3516,3224,4535,3559,3647,4242
ENSG00000200579.1,1,1,6,4,3,4
ENSG00000008226.20,28,33,27,21,24,22
ENSG00000060971.19,3996,3788,4999,4788,4669,4708
ENSG00000172936.18,2890,2492,3532,3201,3334,3109
ENSG00000172939.9,9130,7566,10628,9575,10036,8369
ENSG00000144671.11,4,8,8,6,7,4
ENSG00000093217.11,422,374,487,373,389,250
ENSG00000229589.1,308,269,378,335,339,350
ENSG00000114739.14,10245,8106,11560,9755,9640,8880
ENSG00000157036.13,665,526,716,660,702,597
ENSG00000232439.1,2,4,5,4,11,5
ENSG00000183873.18,122,98,167,48,73,120
ENSG00000168356.13,40,29,35,35,35,32
ENSG00000114742.14,5126,4576,6215,5339,5325,4458
